Fecha,truck4_5_ANPACT,truck6,truck7,truck8,truckTractor,bus5_6,bus7,bus8,busLongDist
2007-01-01,,,,,989,,,,
2007-02-01,,,,,1032,,,,
2007-03-01,,,,,1075,,,,
2007-04-01,,,,,1046,,,,
2007-05-01,,,,,1580,,,,
2007-06-01,,,,,1604,,,,
2007-07-01,,,,,1723,,,,
2007-08-01,,,,,1665,,,,
2007-09-01,,,,,1612,,,,
2007-10-01,,,,,1742,,,,
2007-11-01,,,,,1522,,,,
2007-12-01,,,,,1698,,,,
2008-01-01,626.0,18.0,578.0,454.0,908,,,,
2008-02-01,700.0,53.0,466.0,939.0,1318,,,,
2008-03-01,544.0,29.0,326.0,722.0,1113,,,,
2008-04-01,824.0,53.0,476.0,859.0,1278,,,,
2008-05-01,664.0,27.0,528.0,1128.0,1513,,,,
2008-06-01,1128.0,21.0,467.0,1135.0,1644,,,,
2008-07-01,975.0,59.0,511.0,811.0,1453,,,,
2008-08-01,751.0,109.0,380.0,926.0,1173,,,,
2008-09-01,776.0,15.0,508.0,725.0,1100,,,,
2008-10-01,772.0,23.0,360.0,563.0,869,,,,
2008-11-01,793.0,19.0,189.0,438.0,733,,,,
2008-12-01,648.0,242.0,235.0,977.0,783,,,,
2009-01-01,599.0,125.0,112.0,458.0,301,,,,
2009-02-01,446.0,28.0,103.0,298.0,304,,,,
2009-03-01,599.0,24.0,36.0,401.0,353,,,,
2009-04-01,464.0,17.0,40.0,412.0,347,,,,
2009-05-01,513.0,4.0,108.0,494.0,448,,,,
2009-06-01,461.0,30.0,76.0,479.0,322,,,,
2009-07-01,483.0,37.0,33.0,567.0,425,,,,
2009-08-01,415.0,27.0,38.0,542.0,377,,,,
2009-09-01,409.0,42.0,50.0,457.0,434,,,,
2009-10-01,611.0,51.0,126.0,611.0,431,,,,
2009-11-01,739.0,111.0,71.0,430.0,379,,,,
2009-12-01,539.0,91.0,76.0,688.0,617,,,,
2010-01-01,487.0,89.0,103.0,400.0,227,,,,30.0
2010-02-01,492.0,29.0,42.0,488.0,364,,,,52.0
2010-03-01,614.0,104.0,67.0,608.0,289,,,,66.0
2010-04-01,582.0,75.0,33.0,593.0,444,,,,0.0
2010-05-01,605.0,62.0,40.0,544.0,440,,,,62.0
2010-06-01,516.0,140.0,99.0,717.0,636,,,,62.0
2010-07-01,500.0,97.0,83.0,547.0,534,,,,106.0
2010-08-01,427.0,143.0,96.0,574.0,524,,,,75.0
2010-09-01,465.0,65.0,28.0,520.0,646,,,,85.0
2010-10-01,415.0,197.0,69.0,672.0,845,,,,84.0
2010-11-01,393.0,76.0,53.0,671.0,1449,,,,0.0
2010-12-01,677.0,127.0,80.0,933.0,1167,,,,204.0
2011-01-01,365.0,52.0,38.0,414.0,719,,,,50.0
2011-02-01,382.0,52.0,100.0,581.0,789,,,,115.0
2011-03-01,691.0,92.0,63.0,672.0,907,,,,128.0
2011-04-01,340.0,64.0,86.0,698.0,869,,,,0.0
2011-05-01,517.0,50.0,60.0,637.0,910,,,,143.0
2011-06-01,400.0,96.0,76.0,738.0,1368,,,,139.0
2011-07-01,372.0,103.0,24.0,596.0,973,,,,150.0
2011-08-01,336.0,93.0,44.0,570.0,918,,,,150.0
2011-09-01,384.0,90.0,40.0,684.0,659,,,,126.0
2011-10-01,343.0,50.0,0.0,234.0,827,,,,97.0
2011-11-01,454.0,92.0,84.0,485.0,763,,,,0.0
2011-12-01,388.0,131.0,58.0,836.0,1148,,,,153.0
2012-01-01,500.0,189.0,67.0,641.0,617,76.0,189.0,82.0,61.0
2012-02-01,371.0,193.0,67.0,632.0,822,46.0,193.0,106.0,80.0
2012-03-01,470.0,202.0,57.0,695.0,1046,70.0,239.0,224.0,126.0
2012-04-01,352.0,115.0,46.0,741.0,960,43.0,126.0,136.0,71.0
2012-05-01,431.0,175.0,40.0,667.0,1152,79.0,141.0,212.0,94.0
2012-06-01,394.0,81.0,69.0,829.0,1222,69.0,271.0,127.0,104.0
2012-07-01,518.0,87.0,58.0,746.0,1355,51.0,290.0,89.0,92.0
2012-08-01,334.0,104.0,77.0,910.0,1389,73.0,223.0,141.0,128.0
2012-09-01,508.0,112.0,55.0,780.0,1586,58.0,296.0,120.0,120.0
2012-10-01,552.0,108.0,63.0,1033.0,1759,118.0,246.0,361.0,134.0
2012-11-01,349.0,192.0,42.0,758.0,1549,223.0,307.0,148.0,176.0
2012-12-01,471.0,138.0,32.0,652.0,1330,122.0,354.0,120.0,116.0
2013-01-01,315.0,89.0,127.0,582.0,877,40.0,263.0,141.0,106.0
2013-02-01,403.0,73.0,186.0,770.0,1092,73.0,221.0,159.0,87.0
2013-03-01,485.0,98.0,92.0,694.0,1477,146.0,252.0,110.0,141.0
