Fecha,truck4_5_ANPACT,truck6,truck7,truck8,truckTractor,bus5_6,bus7,bus8,busLongDist
2007-1,,,,,989,,,,
2007-2,,,,,1032,,,,
2007-3,,,,,1075,,,,
2007-4,,,,,1046,,,,
2007-5,,,,,1580,,,,
2007-6,,,,,1604,,,,
2007-7,,,,,1723,,,,
2007-8,,,,,1665,,,,
2007-9,,,,,1612,,,,
2007-10,,,,,1742,,,,
2007-11,,,,,1522,,,,
2007-12,,,,,1698,,,,
2008-1,626,18,578,454,908,,,,
2008-2,700,53,466,939,1318,,,,
2008-3,544,29,326,722,1113,,,,
2008-4,824,53,476,859,1278,,,,
2008-5,664,27,528,1128,1513,,,,
2008-6,1128,21,467,1135,1644,,,,
2008-7,975,59,511,811,1453,,,,
2008-8,751,109,380,926,1173,,,,
2008-9,776,15,508,725,1100,,,,
2008-10,772,23,360,563,869,,,,
2008-11,793,19,189,438,733,,,,
2008-12,648,242,235,977,783,,,,
2009-1,599,125,112,458,301,,,,
2009-2,446,28,103,298,304,,,,
2009-3,599,24,36,401,353,,,,
2009-4,464,17,40,412,347,,,,
2009-5,513,4,108,494,448,,,,
2009-6,461,30,76,479,322,,,,
2009-7,483,37,33,567,425,,,,
2009-8,415,27,38,542,377,,,,
2009-9,409,42,50,457,434,,,,
2009-10,611,51,126,611,431,,,,
2009-11,739,111,71,430,379,,,,
2009-12,539,91,76,688,617,,,,
2010-1,487,89,103,400,227,,,,30
2010-2,492,29,42,488,364,,,,52
2010-3,614,104,67,608,289,,,,66
2010-4,582,75,33,593,444,,,,0
2010-5,605,62,40,544,440,,,,62
2010-6,516,140,99,717,636,,,,62
2010-7,500,97,83,547,534,,,,106
2010-8,427,143,96,574,524,,,,75
2010-9,465,65,28,520,646,,,,85
2010-10,415,197,69,672,845,,,,84
2010-11,393,76,53,671,1449,,,,0
2010-12,677,127,80,933,1167,,,,204
2011-1,365,52,38,414,719,,,,50
2011-2,382,52,100,581,789,,,,115
2011-3,691,92,63,672,907,,,,128
2011-4,340,64,86,698,869,,,,0
2011-5,517,50,60,637,910,,,,143
2011-6,400,96,76,738,1368,,,,139
2011-7,372,103,24,596,973,,,,150
2011-8,336,93,44,570,918,,,,150
2011-9,384,90,40,684,659,,,,126
2011-10,343,50,0,234,827,,,,97
2011-11,454,92,84,485,763,,,,0
2011-12,388,131,58,836,1148,,,,153
2012-1,500,189,67,641,617,76,189,82,61
2012-2,371,193,67,632,822,46,193,106,80
2012-3,470,202,57,695,1046,70,239,224,126
2012-4,352,115,46,741,960,43,126,136,71
2012-5,431,175,40,667,1152,79,141,212,94
2012-6,394,81,69,829,1222,69,271,127,104
2012-7,518,87,58,746,1355,51,290,89,92
2012-8,334,104,77,910,1389,73,223,141,128
2012-9,508,112,55,780,1586,58,296,120,120
2012-10,552,108,63,1033,1759,118,246,361,134
2012-11,349,192,42,758,1549,223,307,148,176
2012-12,471,138,32,652,1330,122,354,120,116
2013-1,315,89,127,582,877,40,263,141,106
2013-2,403,73,186,770,1092,73,221,159,87
2013-3,485,98,92,694,1477,146,252,110,141
2013-4,310,108,131,740,1342,49,246,40,111
2013-5,406,134,183,724,1284,53,232,122,148
2013-6,225,124,65,779,1200,32,296,181,135
2013-7,311,175,29,892,1391,58,321,184,145
2013-8,272,69,35,710,1364,95,387,82,142
2013-9,480,151,23,522,1314,60,304,83,124
2013-10,383,131,42,997,1336,59,438,199,216
2013-11,394,128,49,774,1064,83,309,202,151
2013-12,483,147,75,983,1306,123,438,168,174
2014-1,265,65,34,501,771,62,176,59,89
2014-2,294,69,43,482,869,39,276,145,116
2014-3,287,74,26,577,1002,86,254,99,158
2014-4,331,150,94,596,883,80,324,93,121
2014-5,474,133,53,574,1030,50,253,181,153
2014-6,393,110,62,561,1199,45,371,131,140
2014-7,388,118,84,823,1084,68,312,102,149
2014-8,256,102,128,778,1116,64,484,51,96
2014-9,190,104,57,611,888,49,455,179,142
2014-10,284,174,56,697,1407,81,430,140,135
2014-11,257,148,112,758,1236,56,535,128,120
2014-12,303,202,84,775,1305,126,333,105,231
2015-1,205,141,46,515,923,39,293,117,79
2015-2,187,142,74,547,1077,32,324,107,20
2015-3,171,130,61,524,992,58,298,49,141
2015-4,253,177,162,709,1046,100,432,121,132
2015-5,281,111,59,580,998,80,350,107,132
2015-6,287,141,86,617,1147,142,346,310,78
2015-7,318,130,71,717,1243,88,394,95,71
2015-8,257,162,81,872,1395,65,434,82,116
2015-9,262,168,124,818,1206,118,343,62,81
2015-10,363,179,90,883,1267,149,501,131,26
2015-11,363,205,80,594,1275,88,349,338,62
2015-12,408,233,110,1015,1976,67,489,308,241
2016-1,224,117,56,737,1108,74,219,124,25
2016-2,329,145,91,742,1162,58,324,68,47
2016-3,241,146,79,658,1330,63,485,148,112
2016-4,327,236,74,764,1486,79,336,84,77
2016-5,306,167,72,809,1232,72,355,119,139
2016-6,344,124,139,622,1433,37,540,38,245
2016-7,274,203,146,602,1176,61,422,35,135
2016-8,283,244,156,652,1523,48,462,119,165
2016-9,299,154,85,751,1606,78,436,244,210
2016-10,302,155,43,934,1621,88,420,216,200
2016-11,374,170,73,1083,1981,140,396,70,296
2016-12,459,236,68,1332,2185,130,547,576,219
2017-1,294,145,98,739,1079,64,370,115,79
2017-2,214,130,66,629,1331,250,231,96,88
2017-3,298,147,140,770,1611,71,395,33,163
2017-4,230,163,136,574,1243,59,525,115,84
2017-5,182,112,165,846,1150,89,357,166,134
2017-6,287,197,113,932,1273,66,355,74,176
2017-7,361,113,56,671,1342,71,415,130,141
2017-8,437,137,59,735,1404,99,362,80,162
2017-9,296,144,44,705,1444,73,433,146,160
2017-10,305,134,44,715,1588,89,415,149,149
2017-11,430,162,32,609,1711,103,339,203,161
2017-12,562,261,90,1119,1804,101,467,139,215
2018-1,213,114,67,755,1185,99,367,40,93
2018-2,184,93,57,726,1297,87,364,44,72
2018-3,294,116,46,793,1465,102,412,44,46
2018-4,234,200,45,752,1261,106,412,112,105
2018-5,277,152,249,558,1444,101,499,83,90
2018-6,271,159,87,616,1350,89,506,115,197
